id,signal_id,symbol,category,strategy,timestamp,utc_hour,session,direction,entry_price,stop_loss,take_profit,risk_reward_ratio,stop_distance_pct,tp_distance_pct,outcome,exit_price,exit_time,pnl_pct,hours_to_exit,midas_value,midas_distance_pct,midas_slope,vwap_value,vwap_distance_pct,vwap_sigma,vwap_slope,rsi_value,rsi_divergence_type,rsi_divergence_strength,rsi_first_pivot,rsi_second_pivot,bars_between_pivots,rsi_zone,ema_9,ema_21,ema_50,ema_200,poc,vah,val,hvn_count,price_relative_to_poc,atr_value,atr_pct,body_size_atr,wick_top_ratio,wick_bottom_ratio,volume_current,volume_avg,volume_multiple,volume_quality,trend_state,trend_bias,trend_strength,momentum_gap_pct,vroc,cmf,mfi,macd_histogram,macd_histogram_slope,adx,bollinger_percent_b,bollinger_bandwidth,market_structure_state,distance_to_resistance_pct,distance_to_support_pct,is_choppy,is_mean_reversion,bars_in_trend,bars_since_anchor,entry_side_of_vwap,entry_side_of_midas,is_range_day,signal_strength,confidence_score,setup_quality,bars_until_executed,slippage_pct,notes,created_at
8fcc0d82-732d-4fbf-8726-67b161b31212,32710634-db58-49f3-a274-7cf65b4c425b,SUI/USDT,midcap,RSI Divergence,2025-12-06 23:16:19.956,23,Asian,short,1.55840000,1.57672925,1.53365552,1.35,1.1762,1.5878,win,1.55565061,2025-12-06 23:33:05.597,0.2387,-0.72,,,,,,,,60.36,bearish,,,,,neutral,1.55441216,1.54984166,1.54355257,1.56910446,,,,,,0.00833148,0.5346,0.0840,0.3545,0.5818,1520951.90,1461245.23,1.04,normal,ranging,bullish,1.00,,-43.81,0.0140,63.94,0.00031410,0.000054,29.82,0.8063,0.0159,higher_highs,0.2952,1.3732,f,f,,3,,,,50.00,25.00,C,,,,2025-12-07 00:16:19.961626
3782a15e-89fb-4955-8813-f0b49d128126,e4d28348-1aac-42fe-87fa-c733f030bd7a,CHZ/USDT,midcap,Fast Momentum Gap,2025-12-06 23:16:19.916,23,Asian,long,0.03199000,0.03130989,0.03307817,1.60,2.1260,3.4016,pending,,,,,0.03120462,2.5169,,,,,,,,,,,,,0.03161955,0.03150658,0.03114946,0.03047675,0.03142620,0.03195660,0.03018860,,above,0.00022670,0.7087,1.7644,0.0476,0.0000,7477881.00,5571057.75,1.34,normal,ranging,bullish,3.00,2.5169,-46.63,0.1533,36.60,-0.00001000,0.000013,42.47,0.9898,0.0250,ranging,0.5314,2.1257,f,f,,1,,above,,80.51,45.00,C,,,,2025-12-07 00:16:19.921775
cad878fd-bd90-4994-af5c-700e8f390839,204599ba-8d78-4ea9-9cf0-89883abd3f72,TON/USDT,midcap,VWAP Sigma,2025-12-06 22:31:19.845,22,Asian,short,1.59340000,1.60458277,1.57942154,1.25,0.7018,0.8773,win,1.59172258,2025-12-06 23:32:57.651,0.1394,0.03,,,,1.58060653,0.8094,2.5169,,,,,,,,,1.59328607,1.59116691,1.58632324,1.58335965,1.57131000,1.59027000,1.56815000,,above,0.00508308,0.3190,0.5705,0.5167,0.0000,160711.80,134056.02,1.20,normal,ranging,bullish,0.00,,16.22,0.0754,53.49,-0.00012378,0.000022,19.16,0.5709,0.0101,ranging,0.4142,0.7280,f,f,,3,above,,,88.00,36.00,C,,,,2025-12-06 23:31:19.852228
3fd86e50-eb8d-4701-b0e0-334d1a46f4c1,9583b569-4159-4490-8106-50ff0a1d0abf,GALA/USDT,midcap,RSI Divergence,2025-12-06 21:16:19.337,21,Asian,short,0.00730000,0.00741865,0.00713982,1.35,1.6253,2.1942,win,0.00728220,2025-12-06 22:13:57.757,0.3321,-0.04,,,,,,,,56.88,bearish,,,,,neutral,0.00727733,0.00726818,0.00722890,0.00727615,,,,,,0.00005393,0.7388,0.5563,0.5833,0.1667,150117780.00,33041825.70,4.54,spike,ranging,bullish,1.00,,539.19,-0.0250,65.32,-0.00000598,0.000002,22.06,0.5655,0.0220,lower_lows,1.0959,1.2329,f,f,,3,,,,100.00,60.00,B,,,,2025-12-06 22:16:19.340811
98cb4734-05c5-49e5-b1be-dbef11728e63,470e4dde-15b1-4a43-ba8f-88c27864e230,ETC/USDT,midcap,VWAP Sigma,2025-12-06 21:16:19.302,21,Asian,short,13.36800000,13.47259537,13.23725579,1.25,0.7824,0.9780,win,13.35231069,2025-12-06 22:19:02.444,0.1567,0.05,,,,13.22144818,1.1084,3.0825,,,,,,,,,13.34957317,13.34076488,13.29963987,13.38492882,13.16940000,13.34800000,13.13180000,,above,0.04754335,0.3557,0.6941,0.4947,0.1579,34932.14,19220.00,1.82,strong,ranging,bullish,0.00,,214.59,0.1809,48.21,-0.00741618,0.000626,22.10,0.5628,0.0131,ranging,0.7555,0.7555,f,f,,2,above,,,96.00,49.00,C,,,,2025-12-06 22:16:19.309123
f5851953-7bc6-44a2-81f8-0d7a437489d6,ac577a38-5658-48f8-8935-6b1a8cccaf69,RENDER/USDT,midcap,VWAP Sigma,2025-12-06 18:16:19.29,18,NY,short,1.61500000,1.63245082,1.59318648,1.25,1.0805,1.3507,win,1.60300256,2025-12-06 20:00:50.368,0.8049,0.74,,,,1.60018997,0.9255,1.8671,,,,,,,,,1.60967628,1.60640923,1.60438822,1.63712131,1.60172000,1.60632000,1.59068000,,above,0.00793219,0.4912,0.2521,0.1250,0.6250,80116.70,71103.11,1.13,normal,ranging,bullish,1.00,,-26.86,-0.0654,57.72,0.00077119,0.000016,14.61,0.9068,0.0140,ranging,0.2477,1.3622,f,f,,4,above,,,70.00,31.00,C,,,,2025-12-06 19:16:19.296082
c1d3c60b-24fc-434d-9186-a919fd28e387,2bcb1c63-8fd9-4921-9847-4c234eb4f46e,RUNE/USDT,midcap,VWAP Sigma,2025-12-06 17:46:19.366,17,NY,short,0.65990000,0.66570760,0.65264050,1.25,0.8801,1.1001,win,0.65590728,2025-12-06 19:33:37.587,0.6999,0.79,,,,0.65266500,1.1085,2.7407,,,,,,,,,0.66082317,0.65936314,0.65663555,0.65828267,0.65100000,0.66100000,0.64700000,,above,0.00263982,0.4000,1.3637,0.0000,0.1628,147622.00,70117.50,2.11,strong,ranging,bullish,0.00,,235.60,-0.0403,57.52,-0.00009930,0.000003,30.84,0.4874,0.0096,lower_lows,0.7425,0.5001,f,f,,1,above,,,96.00,49.00,C,,,,2025-12-06 18:46:19.372238
4382fd1a-3011-4d3c-81cd-e4a0f8123527,d36dc020-5839-427f-9850-72f50f95054d,AXS/USDT,midcap,Fast Momentum Gap,2025-12-06 17:16:19.303,17,NY,long,1.07700000,1.04970755,1.12066792,1.60,2.5341,4.0546,pending,,,,,1.05623886,1.9656,,,,,,,,,,,,,1.07642876,1.06641146,1.05222812,1.05607159,1.03086000,1.08468000,1.02396000,,above,0.00909748,0.8447,1.0992,0.0714,0.2143,218979.00,137791.80,1.59,strong,ranging,bullish,2.00,1.9656,7.79,0.1195,65.76,0.00056560,-0.000106,62.87,0.7236,0.0459,higher_highs,1.2071,2.8784,f,f,,1,,above,,86.12,56.00,C,,,,2025-12-06 18:16:19.309084
e667b92e-dded-4629-a7a4-5452330f61a3,f4290577-fb5c-4d30-b566-798105b82742,AAVE/USDT,midcap,Fast Momentum Gap,2025-12-06 17:16:19.266,17,NY,long,189.03000000,185.29838911,195.00057742,1.60,1.9741,3.1585,pending,,,,,186.08620338,1.5820,,,,,,,,,,,,,188.79467116,187.25927235,185.76282766,186.78065113,187.06000000,189.69200000,182.92400000,,above,1.24387030,0.6580,0.5949,0.0412,0.1959,8116.40,5827.95,1.39,normal,ranging,bullish,2.00,1.5820,47.15,0.1145,69.51,0.30547815,-0.001301,36.41,0.7571,0.0455,higher_highs,1.2643,2.7456,f,f,,2,,above,,81.65,45.00,C,,,,2025-12-06 18:16:19.274037
3d4ddf2c-c31d-47a7-a0e0-52939da6d38e,5d1e7944-368b-4b45-9898-44a55637f5a6,ETC/USDT,midcap,VWAP Sigma,2025-12-06 15:31:19.17,15,Overlap,short,13.27700000,13.37285418,13.15718228,1.25,0.7220,0.9024,loss,13.34889064,2025-12-06 16:46:38.116,-0.5415,0.26,,,,13.14157760,1.0305,3.1082,,,,,,,,,13.28442794,13.25520150,13.22473357,13.39438135,13.03750000,13.26250000,13.00000000,,above,0.04357008,0.3282,0.5279,0.0000,0.5400,22673.89,18135.62,1.25,normal,ranging,bullish,0.00,,230.42,-0.0231,72.27,0.00355684,-0.000266,27.54,0.6531,0.0129,higher_highs,0.6929,0.9565,f,f,,2,above,,,88.00,36.00,C,,,,2025-12-06 16:31:19.176987
